unique_gauge_id,longitude,latitude,HYBAS_ID,NEXT_DOWN,UP_AREA,SUB_AREA,continent,provider,data_source,is_hybas_entry,assigned,generous,rp2,rp5,file_present_all_null,f1_of_record,has_metric_file
GRDC_1553500,31.3833,-8.8333,1122149310,1121313210,361.4,196.6,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1563050,34.63,10.15,1121956020,1121956790,162.1,161.8,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1563100,35.0,11.0,1121939770,1120766430,158.6,158.6,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1563450,37.02,10.85,1121944390,1121947170,267.3,85.9,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1563500,37.03,11.37,1120757260,1120754570,2092.3,131.6,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1563550,37.25,9.75,1120825630,1120822940,354.8,97.0,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1563600,37.5,10.55,1120794480,1121950220,268.9,130.2,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1563680,37.72,8.87,1120862630,1120861510,163.1,163.1,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1563700,37.75,8.95,1120858420,1120856020,773.8,134.7,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1563750,37.0,10.0,1121960310,1121961330,177.3,177.3,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1563800,38.18,11.07,1120771640,1120773770,23938.4,127.3,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1563900,39.52,9.67,1121963430,1120822480,346.0,151.6,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1564500,38.2,13.73,1121899190,1120669340,45814.5,234.3,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1566100,34.58,8.25,1120891410,1120892150,23650.2,65.0,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1566206,33.768355,8.367386,1121985520,1121985050,30091.4,175.0,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1566260,33.689268,8.387658,1121985520,1121985050,30091.4,175.0,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
hybas_1121985520,33.67708333332996,8.427083333332291,1121985520,1121985050,30091.4,175.0,AFRICA,23,catalogue.csv,True,True,False,False,False,False,,False
GRDC_1566207,33.9333,8.3333,1121988130,1120887440,26954.9,206.1,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
hybas_1121988130,33.88958333332988,8.272916666665651,1121988130,1120887440,26954.9,206.1,AFRICA,23,catalogue.csv,True,True,False,False,False,False,,False
GRDC_1566208,33.762168,8.040186,1120891730,1121987880,2511.1,187.6,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1566250,33.7833,8.3667,1120886140,1121985520,27501.1,13.0,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
hybas_1120886140,33.7812499999967,8.364583333332348,1120886140,1121985520,27501.1,13.0,AFRICA,23,catalogue.csv,True,True,False,False,False,False,,False
GRDC_1566255,33.8167,8.35,1120887180,1120886140,372.4,184.2,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
hybas_1120887180,33.806249999996616,8.343749999999034,1120887180,1120886140,372.4,184.2,AFRICA,23,catalogue.csv,True,True,False,False,False,False,,False
GRDC_1566261,33.542763,8.126885,1120893250,1120891160,529.9,103.2,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1566270,33.6167,8.1167,1121990600,1120893250,426.6,158.0,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1566500,33.2167,8.4333,1121984320,1121982920,175999.4,137.6,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
hybas_1121984320,33.14791666666332,8.497916666665674,1121984320,1121982920,175999.4,137.6,AFRICA,23,catalogue.csv,True,True,False,False,False,False,,False
GRDC_1566501,33.2167,8.35,1120886880,1120885260,1818.3,27.1,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1566502,33.2167,8.35,1120886880,1120885260,1818.3,27.1,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1566520,33.2167,8.35,1120886880,1120885260,1818.3,27.1,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
hybas_1120886880,33.210416666663264,8.352083333332303,1120886880,1120885260,1818.3,27.1,AFRICA,23,catalogue.csv,True,True,False,False,False,False,,False
GRDC_1566510,33.2,8.4,1120883500,1121984320,137130.1,41.6,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
hybas_1120883500,33.22291666666331,8.427083333332291,1120883500,1121984320,137130.1,41.6,AFRICA,23,catalogue.csv,True,True,False,False,False,False,,False
GRDC_1577050,38.52,9.08,1121974240,1121975210,165.8,165.8,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1577100,38.6,8.7,1120874130,1120874990,4680.8,179.2,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1577101,38.783333,8.383333,1121986010,1120884510,7806.1,146.4,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1577102,39.85,8.85,1120864920,1120864610,16003.2,17.3,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1577200,38.6,8.57,1120874990,1120876920,5003.5,53.8,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1577300,39.4,8.27,1120884530,1120884180,933.4,210.0,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1577500,39.93,9.15,1120852890,1120852280,3044.1,125.6,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1577600,40.2,9.2,1120846180,1120844670,27021.6,3.8,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1577601,40.13,9.39,1120840830,1120840150,27625.7,40.7,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1577602,40.783333,11.133333,1120767920,1120767300,48885.3,50.7,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1577603,40.95,11.683333,1120747320,1120746870,59479.6,239.1,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1577700,39.92,10.65,1120790000,1121947270,1588.2,102.9,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
